Title,imdbID,tmdbId
Capone,tt6199572,
Cannonball,tt10655954,
Bizim Aile,tt0494588,
Animal House,tt30424573,
Salem's Lot,tt10245072,
Breaking Bad,tt0903747,
The Pit,tt7431994,
Night Shadows,tt5774558,
Jason's Destroyer: The Making of Friday the 13th Part VII - The New Blood,tt2078650,
Native Son,tt6566768,
Roadkill,tt10846250,
Angel,tt0162065,
Loose Screws,tt5050058,
Sid & Nancy - Ex & Pop,tt9760550,
House,tt0412142,
Bliss,tt10333426,
Whitey,tt4273400,
Troll,tt11116912,
Scared to Death,tt0039800,
Escape to Victory,tt9735356,
Inside Story: National Lampoon's Vacation,tt7642624,
Road House,tt3359350,
The Punisher,tt5675620,
They Won't Stay Dead: A Look at Return of the Living Dead Part II,tt2199681,
Revolution,tt2070791,
2010,tt0883356,
Supergirl,tt4016454,
The Wind in the Willows,tt0042044,
Return-of-the-Living-Dead-3: Ashes to Ashes,tt6270244,
Wendy Williams: What a Mess!,tt13840726,
Prince Vaali,tt1858770,
133) Jason Goes to Hell: The Final Friday (1993),tt25690636,
The Ride,tt6102104,
Doctor Who,tt0436992,
Rasen,tt0237982,
Seasick,tt15090794,
Sunday,tt1039989,
"Creatures From the Abyss, aka Plankton (1994)",tt24909318,
Godfather,tt13130308,
Poison,tt28912885,
Counterforce,tt0092787,
The Rookie,tt7587890,
David,tt2358412,
Buffy the Vampire Slayer,tt0118276,
Run,tt8633478,
Black and White,tt1636833,
The Three Brothers,tt0006158,
Unforgettable,tt1842530,
Ri¢hie Ri¢h,tt0144065,
Lost in Space,tt5232792,
Being Human,tt1595680,
Legacy of Zyzzyx Road,tt32632312,
Alone in the Dark 2,tt1120966,
Le château maléfique,tt18260344,
Sarkar,tt7715202,
Canvas,tt9711282,
Ghost Writer,tt10280220,
Shadow of the Eagle,tt0437273,
Salute,tt13978658,
Lunch Box,tt0104778,
Steam,tt1403246,
MR Exotic VS the Villan Lair,tt26765337,
Plus One,tt7645122,
The River,tt1836195,
R60 Snakeman Show,tt1856506,
Taare Zameen Par,tt13300004,
Dead Man's Hand,tt23469212,
Tere Naam,tt11047176,
In the Shadow of the Moon,tt8110640,
Chance,tt5620076,
'Saippuaprinssi' making of,tt0934902,
The Hollow,tt6193336,
All the Best,tt2454836,
Lascars,tt0856138,
The Interceptor,tt3654614,
Lucky Luke,tt0175863,
123 D-Tox/Eye See You (2002),tt18761394,
A Pain in the Ass,tt0072934,
Tristan & Isolde,tt0262069,
Daredevil,tt3322312,
Gone in Sixty Seconds at Ascot Raceway,tt18930694,
Lego Harry Potter and the Philosopher's Stone,tt14149634,
X2,tt33407198,
Secrets in the Snow,tt12246284,
Easy on the Eyes,tt0023977,
Little Witch Academia,tt6352180,
Barfi,tt3099638,
Burn,tt8009314,
Drones,tt2179027,
Mindscape,tt0075047,
Leave the World Behind,tt12747748,
Baby Blues,tt0972359,
The Outsider,tt8550800,
Calculator,tt34055634,
On the Hook,tt5799728,
The Bartender,tt9722800,
Ragnarok,tt9251798,
The Battalion,tt12078950,
Search Party,tt5460226,
Veronica Mars,tt0412253,
Ballerina,tt26350277,
Space Pirate Captain Harlock,tt0182646,
RiffTrax: Star Wars: The Force Awakens,tt10321138,
E! Online Live from the Red Carpet Men in Black 3,tt2224272,
Insurgent,tt31922388,
Endangered Species,tt13863334,
Ashura,tt2719064,
FUBAR,tt13064902,
A Connecticut Yankee in King Arthur's Court,tt0041259,
Modern Family,tt1442437,
Lou,tt5315210,
The Bet,tt3583370,
Gwendoline,tt22438506,
Skin,tt6043142,
Just Like Me,tt1435955,
Martial Law,tt0163949,
Taipei: Love Forbidden,tt1381684,
The Colour Out of Space,tt7242462,
Lovers Like 'Us',tt1577844,
In the Shadows,tt2302416,
The Last Ride,tt0402336,
Pretty Smart,tt14369056,
Alléluia,tt1369806,
Come and Go,tt0343543,
Blockbuster,tt16124614,
Miserere,tt11213702,
Dark Eyes,tt0044004,
The Caine Mutiny Court-Martial,tt24249946,
The StickUp,tt4654054,
Sexo com Amor?,tt0931353,
Knight Rider,tt0083437,
Quitting,tt1427937,
Gardenia,tt12914986,
Erased,tt5249462,
