Title,imdbID,tmdbId
Good Guys Wear Black,tt0079227,42205.0
Grizzly,tt0074593,55784.0
Capone,tt6199572,
The Duellists,tt0075968,19067.0
Cannonball,tt10655954,
Jackson County Jail,tt0074706,21950.0
Bizim Aile,tt0494588,
Fighting Mad,tt0076024,90121.0
Pumping Iron,tt0076578,5205.0
Family Plot,tt0074512,5854.0
Dersu Uzala,tt0071411,9764.0
Hard Times,tt0073092,22094.0
The Land That Time Forgot,tt0073260,27085.0
Squeeze Play,tt0081552,61644.0
Airport 1975,tt0071110,27932.0
Piranha,tt0078087,24831.0
The Master Gunfighter,tt0073357,95555.0
Emmanuelle,tt0071464,24402.0
Rock 'n' Roll High School,tt0079813,26326.0
Desperate Living,tt0075936,14262.0
La Soufrière,tt0076741,48227.0
"Farewell, My Lovely",tt0072973,1835.0
Caged Heat,tt0071266,39775.0
Beneath the Valley of the Ultra-Vixens,tt0078846,5157.0
Let's Do It Again,tt0073282,29473.0
Valentino,tt0076868,42603.0
Rolling Thunder,tt0076637,21948.0
Within the Woods,tt0078503,2186.0
Daisy Miller,tt0071385,4703.0
Jacques Brel Is Alive and Well and Living in Paris,tt0121411,198317.0
The Magic Flute,tt0073822,44864.0
Ilsa the Tigress of Siberia,tt0078398,28746.0
Russian Roulette,tt0073646,242102.0
The Odd Angry Shot,tt0079652,29582.0
The Brood,tt0078908,28942.0
Malibu High,tt0079514,66745.0
Tunnel Vision,tt0075357,114255.0
Sebastiane,tt0075177,42241.0
Sinbad and the Eye of the Tiger,tt0076716,11940.0
Hollywood Boulevard,tt0074633,29856.0
Animal House,tt30424573,
Salem's Lot,tt10245072,
Eaten Alive,tt0074455,30062.0
Go Tell the Spartans,tt0077617,32052.0
The Kids Are Alright,tt0079400,22984.0
Us Two,tt0080184,76348.0
Rabid,tt0076590,29437.0
Criminally Insane,tt0072831,89659.0
How Much Wood Would a Woodchuck Chuck...,tt0074650,100224.0
The Toolbox Murders,tt0078405,27495.0
Dark Star,tt0069945,1410.0
Breakout,tt0072737,31671.0
The Incredible Melting Man,tt0076191,40231.0
Flesh Gordon,tt0068595,3687.0
Female Trouble,tt0072979,14267.0
The Lords of Flatbush,tt0071772,38925.0
Soldier of Orange,tt0076734,633.0
Uptown Saturday Night,tt0072351,29464.0
Foxy Brown,tt0071517,22048.0
The Kentucky Fried Movie,tt0076257,11598.0
Kingdom of the Spiders,tt0076271,30315.0
The Trial of Billy Jack,tt0072317,83980.0
Stay Hungry,tt0075268,5228.0
Bring Me the Head of Alfredo Garcia,tt0071249,11942.0
Tim,tt0080024,31179.0
Sweeney!,tt0076788,55762.0
3 Women,tt0075612,41662.0
Watership Down,tt0078480,11837.0
Tentacles,tt0076809,49158.0
Day of the Animals,tt0075913,64976.0
Beyond the Door,tt0071212,33801.0
The Hobbit,tt0077687,1362.0
The Lost Honor of Katharina Blum,tt0073858,4762.0
The Klansman,tt0071721,77765.0
I Am Self Sufficient,tt0076207,54313.0
I Never Promised You a Rose Garden,tt0076172,66092.0
Deranged,tt0071408,39844.0
Shock Waves,tt0076704,26680.0
Weasels Rip My Flesh,tt0304927,79911.0
Outlaw Blues,tt0076512,112731.0
Eraserhead,tt0074486,985.0
Shocking Asia,tt0073706,115463.0
Bite the Bullet,tt0072705,32617.0
Seizure,tt0072136,29854.0
Shivers,tt0073705,27429.0
Capricorn One,tt0077294,11935.0
The Great Ecstasy of Woodcarver Steiner,tt0070136,46595.0
Death Race 2000,tt0072856,13282.0
The Front Page,tt0071524,987.0
American Boy: A Profile of Steven Prince,tt0077157,33470.0
"Alice, Sweet Alice",tt0076150,23761.0
Captain Kronos: Vampire Hunter,tt0071276,18979.0
The Chant of Jimmie Blacksmith,tt0077318,69069.0
Attack of the Killer Tomatoes!,tt0080391,2182.0
Wizards,tt0076929,16220.0
Airport '77,tt0075648,7227.0
Nickelodeon,tt0074964,104364.0
Don Giovanni,tt0079063,61638.0
The Hindenburg,tt0073113,17599.0
The Wild Geese,tt0078492,7010.0
Barry Lyndon,tt0072684,3175.0
Bear Island,tt0078836,38629.0
Logan's Run,tt0074812,10803.0
MacArthur,tt0076342,31037.0
Avalanche,tt0077189,166680.0
1900,tt0074084,3870.0
Caligula,tt0080491,9453.0
Cross of Iron,tt0074695,10839.0
Fedora,tt0077539,54000.0
Big Wednesday,tt0077235,18387.0
The Fury,tt0077588,12611.0
Damnation Alley,tt0075909,25763.0
Sorcerer,tt0076740,38985.0
Terror Train,tt0081617,40969.0
Breaking Bad,tt0903747,
Mephisto,tt0082736,11911.0
Hey Good Lookin',tt0084070,32202.0
Combat Shock,tt0090866,26558.0
Fear No Evil,tt0082367,91817.0
Santa Sangre,tt0098253,19236.0
The Pit,tt7431994,
Robo Vampire,tt0121694,88377.0
Surfacing,tt0088208,282298.0
Slime City,tt0234748,27548.0
Night Shadows,tt5774558,
Another State of Mind,tt0198307,42082.0
Polyester,tt0082926,14269.0
Jason's Destroyer: The Making of Friday the 13th Part VII - The New Blood,tt2078650,
The Devil at Your Heels,tt0132082,49991.0
America 3000,tt0090630,27270.0
Manhattan Baby,tt0084298,30875.0
The Mahabharata,tt0097810,150523.0
Mesmerized,tt0091513,73515.0
Class of 1984,tt0083739,11564.0
Bad Taste,tt0092610,9964.0
Killer Klowns from Outer Space,tt0095444,16296.0
Sorority Babes in the Slimeball Bowl-O-Rama,tt0096142,27390.0
Raiders of the Lost Ark: The Adaptation,tt0772251,62128.0
Without Warning,tt0081764,44932.0
Malibu Express,tt0089539,64494.0
Who's Singin' Over There?,tt0076276,17909.0
Neon Maniacs,tt0127045,26676.0
Vincent,tt0084868,32085.0
The Park Is Mine,tt0091724,53157.0
Galaxy of Terror,tt0082431,28893.0
Mickey's Christmas Carol,tt0085936,14813.0
Black Eagle,tt0094750,18214.0
Native Son,tt6566768,
The Unseen,tt0083261,40241.0
Phenomena,tt0087909,29161.0
Eating Raoul,tt0083869,28940.0
Goodbye Pork Pie,tt0082464,16124.0
Roadkill,tt10846250,
The Return of Captain Invincible,tt0086189,71016.0
The Decline of Western Civilization,tt0082252,21137.0
Scarecrows,tt0096046,40168.0
Hollywood Chainsaw Hookers,tt0095312,27412.0
Time Walker,tt0084796,30049.0
The Boogey Man,tt0080464,40220.0
Angel,tt0162065,
Battle Beyond the Stars,tt0080421,14460.0
Julie Darling,tt0084182,81475.0
Godzilla vs. Biollante,tt0097444,18289.0
Evilspeak,tt0082346,39868.0
One Dark Night,tt0086050,37935.0
Loose Screws,tt5050058,
Trancers,tt0090192,5677.0
The Hills Have Eyes Part II,tt0089274,18477.0
Intruder,tt0095379,31150.0
Cannibal Holocaust,tt0078935,8689.0
Blood Beach,tt0082083,37843.0
Christmas Evil,tt0081793,27230.0
Inseminoid,tt0084090,46364.0
Chopping Mall,tt0090837,28941.0
Demons,tt0089013,14029.0
Sid & Nancy - Ex & Pop,tt9760550,
Running Hot,tt0088025,88338.0
Demons 2,tt0090930,40342.0
A Breed Apart,tt0087001,96404.0
Trances,tt0406280,215407.0
The Brave Little Toaster,tt0092695,19933.0
House,tt0412142,
Dead & Buried,tt0082242,24274.0
Rock 'n' Roll Nightmare,tt0093873,36762.0
The Emperor's Naked Army Marches On,tt0092963,51929.0
Creature,tt0088961,58903.0
Bliss,tt10333426,
Meet the Feebles,tt0097858,8216.0
The Prowler,tt0082951,44247.0
Chillers,tt0092750,97971.0
The Church,tt0094860,40364.0
Bride of Re-Animator,tt0099180,18111.0
Basket Case,tt0083624,27813.0
Whitey,tt4273400,
Sole Survivor,tt0181012,29611.0
BMX Bandits,tt0085204,17381.0
Troll,tt11116912,
Ms .45,tt0082776,22171.0
Scared to Death,tt0039800,
De vlaschaard,tt0086553,63044.0
Mio in the Land of Faraway,tt0093543,14499.0
Escape to Victory,tt9735356,
Elvis and Me,tt0095089,23178.0
The Librarian: Return to King Solomon's Mines,tt0455596,14208.0
Armour of God,tt0091431,10974.0
Inside Story: National Lampoon's Vacation,tt7642624,
Twinkle Twinkle Lucky Stars,tt0090342,18707.0
Fitzcarraldo,tt0083946,9343.0
Rough Cut,tt1345734,17593.0
Road House,tt3359350,
The Kiss,tt0139738,94570.0
Galaxina,tt0080771,33155.0
The Punisher,tt5675620,
They Won't Stay Dead: A Look at Return of the Living Dead Part II,tt2199681,
Cameron's Closet,tt0097008,59735.0
Felix the Cat: The Movie,tt0259308,36523.0
Cherry 2000,tt0092746,15785.0
Martial Arts of Shaolin,tt0091607,37032.0
Revolution,tt2070791,
2010,tt0883356,
Moonwalker,tt0095655,13192.0
Lion of the Desert,tt0081059,26843.0
Supergirl,tt4016454,
Shaka Zulu,tt0086798,75926.0
Juha,tt0158692,55257.0
The Wind in the Willows,tt0042044,
Absence of the Good,tt0198279,53882.0
Cannibal! The Musical,tt0115819,13063.0
Return-of-the-Living-Dead-3: Ashes to Ashes,tt6270244,
Running Time,tt0120042,81048.0
Bullet in the Head,tt0099426,11909.0
Dingo,tt0104109,66634.0
Wendy Williams: What a Mess!,tt13840726,
