Title,imdbID,tmdbId,BoxOffice
Capone,tt6199572,,0
Cannonball,tt10655954,,0
Bizim Aile,tt0494588,,0
Animal House,tt30424573,,0
Salem's Lot,tt10245072,,0
Breaking Bad,tt0903747,,0
The Pit,tt7431994,,0
Night Shadows,tt5774558,,0
Jason's Destroyer: The Making of Friday the 13th Part VII - The New Blood,tt2078650,,0
Native Son,tt6566768,,0
Roadkill,tt10846250,,0
Angel,tt0162065,,0
Loose Screws,tt5050058,,0
Sid & Nancy - Ex & Pop,tt9760550,,0
House,tt0412142,,0
Bliss,tt10333426,,0
Whitey,tt4273400,,0
Troll,tt11116912,,0
Scared to Death,tt0039800,,0
Escape to Victory,tt9735356,,0
Inside Story: National Lampoon's Vacation,tt7642624,,0
Road House,tt3359350,,0
The Punisher,tt5675620,,0
They Won't Stay Dead: A Look at Return of the Living Dead Part II,tt2199681,,0
Revolution,tt2070791,,0
2010,tt0883356,,0
Supergirl,tt4016454,,0
The Wind in the Willows,tt0042044,,0
Return-of-the-Living-Dead-3: Ashes to Ashes,tt6270244,,0
Wendy Williams: What a Mess!,tt13840726,,0
Prince Vaali,tt1858770,,0
133) Jason Goes to Hell: The Final Friday (1993),tt25690636,,0
The Ride,tt6102104,,0
Doctor Who,tt0436992,,0
Rasen,tt0237982,,0
Seasick,tt15090794,,0
Sunday,tt1039989,,0
"Creatures From the Abyss, aka Plankton (1994)",tt24909318,,0
Godfather,tt13130308,,0
Poison,tt28912885,,0
Counterforce,tt0092787,,0
The Rookie,tt7587890,,0
David,tt2358412,,0
Buffy the Vampire Slayer,tt0118276,,0
Run,tt8633478,,0
Black and White,tt1636833,,0
The Three Brothers,tt0006158,,0
Unforgettable,tt1842530,,0
Ri¢hie Ri¢h,tt0144065,,0
Lost in Space,tt5232792,,0
Being Human,tt1595680,,0
Legacy of Zyzzyx Road,tt32632312,,0
Alone in the Dark 2,tt1120966,,0
Le château maléfique,tt18260344,,0
Sarkar,tt7715202,,0
Canvas,tt9711282,,0
Ghost Writer,tt10280220,,0
Shadow of the Eagle,tt0437273,,0
Salute,tt13978658,,0
